id;name;identificacion;f_k_convenio
1;Paradigma Silver;infomediaries;bandwidth EXE Artesanal
2;array JSON XSS;Silla servidor calculating;Loan harness
3;copying;Sabroso;Sorprendente back-end Andalucía
4;Sorprendente compress;Account;Morado
5;repurpose Representante Account;Colegio País;open-source
6;Pound Borders;architectures Granito driver;EXE
7;parse Metal;Account;Re-contextualizado holistic
8;Ferrocarril connecting copying;Coche bypass Música;distributed Ladrillo overriding
9;redundant;Mobilidad Práctico;synthesize pixel
10;deposit bypass;B2B;flexibilidad a
